published_date,title,respondent,summary,download_url,citation,case_number,referred_by,referring_to,enforcement
2019-12-05,Breach of the Protection Obligation by Learnaholic,Learnaholic,"A financial penalty of $60,000 was imposed on Learnaholic for failing to put in place reasonable measures to protect the personal data of students, students’ parents and staff of various schools.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---Learnaholic.pdf?la=en,[2019] SGPDPC 31,DP-1703-B0567,[],"['[2018] SGPDPC 17', '[2017] SGPDPC 2', '[2017] SGPDPC 12']","[['financial', 60000]]"
2019-11-04,Breach of the Protection Obligation by CampVision,CampVision,"A warning was issued to CampVision for failing to put in place reasonable security arrangements to prevent the unauthorised disclosure of personal data of individuals. As a result, the personal data of 106 individuals were compromised through a data breach from an online survey platform.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Summary-Decision---CampVision.pdf?la=en,,DP-1808-B2508,[],[],['warning']
2019-11-04,Breach of the Protection Obligation by Tan Tock Seng Hospital,Tan Tock Seng Hospital,A warning was issued to Tan Tock Seng Hospital for failing to put in place reasonable security arrangements to prevent the unauthorised disclosure of personal data of its patients. 85 Notification letters to patients to reschedule appointments were sent to wrong addresses.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Summary-Decision---TTSH.pdf?la=en,,DP-1902-B3372,[],[],['warning']
2019-11-04,Breach of the Protection Obligation by SearchAsia Consulting,SearchAsia Consulting,"A financial penalty of $7,000 was imposed on SearchAsia Consulting for failing to put in place reasonable security arrangements to protect jobseekers’ resumes from unauthorised disclosure via its online website.  ",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---SearchAsia-Consulting-Pte-Ltd.pdf?la=en,[2019] SGPDPC 40,DP-1809-B2790,[],"['[2016] SGPDPC 19', '[2019] SGPDPC 5']","[['financial', 7000]]"
2019-11-04,Breach of the Protection Obligation by Ninja Logistics,Ninja Logistics,"Directions, including a financial penalty of $90,000, were imposed on Ninja Logistics for failing to put in place reasonable security arrangements to protect customers’ data in relation to the Tracking Function Page on the Ninja Logistics website.  This resulted in customers’ data on the website to be accessible by the public. ",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---Ninja-Logistics-Pte-Ltd.pdf?la=en,[2019] SGPDPC 39,DP-1804-B2020,[],['[2016] SGPDPC 6'],"[['financial', 90000]]"
2019-11-04,Breach of the Accountability Obligation by iClick Media,iClick Media,iClick was found in breach of the PDPA for failing to put in place written policies and practices necessary to ensure its compliance with the PDPA. iClick was directed to put in place a data protection policy to comply with the provisions of the PDPA; to develop a training programme for its employees and require them to attend the training.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Summary-Decision---iClick-Media.pdf?la=en,,DP-1901-B3254,[],[],[]
2019-11-04,Breach of the Protection and Accountability Obligations by EU Holidays,EU Holidays,"Directions, including a financial penalty of $15,000, were imposed on EU Holidays for breaches of the PDPA. The organisation failed to put in place reasonable measures to protect its customers’ personal data and did not have written policies and practices necessary to ensure its compliance with the PDPA. ",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---EU-Holidays-Pte-Ltd.pdf?la=en,[2019] SGPDPC 38,DP-1901-B3254,[],['[2019] SGPDPC 5'],"[['financial', 15000]]"
2019-11-04,Breach of the Protection Obligation by Singtel,Singtel,"A financial penalty of $25,000 was imposed on Singtel for failing to put in place reasonable security arrangements to protect the personal data of users on its My Singtel mobile application.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---Singapore-Telecommunications-Limited.pdf?la=en,[2019] SGPDPC 36,DP-1705-B0781,[],[],"[['financial', 25000]]"
2019-11-04,Breach of the Protection Obligation by Marshall Cavendish Education,Marshall Cavendish Education,"A financial penalty of $40,000 was imposed on Marshall Cavendish Education for failing to put in place reasonable measures to protect the personal data of users of its learning management system.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---Marshall-Cavendish-Education-Pte-Ltd.pdf?la=en,[2019] SGPDPC [34],DP-1704-B0699,[],"['[2019] SGPDPC 34', '[2018] SGPDPC 4', '[2016] SGPDPC 6']","[['financial', 40000]]"
2019-10-10,Breach of the Protection Obligation by Barnacles,Barnacles,A warning was issued to Barnacles Pte. Ltd. for failing to put in place reasonable measures to protect the personal data of individuals who had made dining reservations via its website; and retaining such personal data when it no longer had any legal or business purpose to retain it.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Summary-Decision---Barnacles.pdf?la=en,,DP-1904-B3652,[],[],['warning']
2019-10-10,Breach of the Protection Obligation by ERGO Insurance,ERGO Insurance,A warning was issued to ERGO Insurance Pte. Ltd. for failing to protect the personal data of its policyholders from unauthorised disclosure via its internet portal. The personal data of 57 policyholders were mistakenly disclosed to other insurance intermediaries.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Summary-Decision---Ergo-Insurance.pdf?la=en,,DP-1810-B2869,[],[],['warning']
2019-10-10,Breach of the Protection Obligation by Zero1 and XDel,Zero1 and XDel,"Financial penalties of $4,000 and $7,000 were imposed on Zero1 and XDel respectively for failing to put in place reasonable measures to protect the personal data of the subscribers of Zero1.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---Zero1-and-XDel.pdf?la=en,[2019] SGPDPC 37,DP-1803-B1866,[],[],[]
2019-10-10,Breach of the Protection and Accountability Obligations by Advance Home Tutors,Advance Home Tutors,"A financial penalty of $1,000 was imposed on Advance Home Tutors for failing to put in place reasonable security arrangements to protect the personal data collected from its tutors and for not developing and implementing data protection policies and practices necessary to ensure its compliance with PDPA.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---Advance-Home-Tutors.pdf?la=en,[2019] SGPDPC 35,DP-1806-B2218,[],"['[2018] SGPDPC 9', '[2019] SGPDPC 5']","[['financial', 1000]]"
2019-10-10,Breach of the Consent and Notification Obligations by Amicus Solutions and a Financial Consultant,Amicus Solutions and a Financial Consultant,"Amicus Solutions and a financial consultant were issued directions, including to pay financial penalties of $48,000 and $10,000 respectively, for breaches of the PDPA.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision--Amicus-Solutions-Pte-Ltd---Another.pdf?la=en,[2019] SGPDPC [33],DP-1610-B0290,[],"['[2019] SGPDPC 33', '[2018] SGPDPC 15', '[2018] SGPDPC 1']",[]
2019-09-06,"Breach of the Protection, Retention and Accountability Obligations by O2 Advertising",O2 Advertising,"Directions, including a financial penalty of $10,000, were imposed on O2 Advertising for breaches of the PDPA. The organisation failed to put in place reasonable measures to protect individuals’ personal data collected from an advertising campaign and did not cease retention of such data when it was no longer required. The organisation was also directed to appoint a data protection officer and put in place data protection policies and practices.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---O2-Advertising-Pte-Ltd---280819.pdf?la=en,[2019] SGPDPC 32,DP-1807-B2376,[],['[2019] SGPDPC 5'],"[['financial', 10000]]"
2019-09-06,Breach of the Accountability Obligation by Executive Link Services,Executive Link Services,"A financial penalty of $5,000 was imposed on Executive Link Services for breaches of the PDPA. The organisation failed to appoint a data protection officer and did not have written policies and practices necessary to ensure its compliance with the PDPA.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---Executive-Link-20082019.pdf?la=en,[2019] SGPDPC 30,DP-1806-B2237,[],"['[2017] SGPDPC 14', '[2017] SGPDPC 15', '[2018] SGPDPC 17', '[2019] SGPDPC 23']","[['financial', 5000]]"
2019-09-06,Breach of the Protection Obligation by Friends Provident International,Friends Provident International,A warning was issued to Friends Provident International for failing to protect the personal data of its policyholders from unauthorised disclosure via its online portal.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Ground-of-Decision---Friends-Provident---300719.pdf?la=en,[2019] SGPDPC 29,DP-1805-B2112,[],[],['warning']
2019-08-02,Breach of the Protection Obligation by Avant Logistic Service,Avant Logistic Service,Directions were issued to Avant Logistic Service for failing to make reasonable security arrangements to prevent the unauthorised disclosure of customers' personal data. The lapses resulted in personal data of customers being disclosed by an employee.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---Avant-Logistic-Service-Pte-Ltd---300719.pdf?la=en,[2019] SGPDPC 28,DP-1802-B1709,['[2019] SGPDPC 43'],['[2017] SGPDPC 9'],['directions']
2019-08-02,Breach of the Protection Obligation by Horizon Fast Ferry,Horizon Fast Ferry,"A financial penalty of $54,000 was imposed on Horizon Fast Ferry for failing to appoint a data protection officer, develop and implement data protection policies and practices, and put in place reasonable security arrangements to protect the personal data collected from its customers.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---Horizon-Fast-Ferry---250719.pdf?la=en,[2019] SGPDPC 27,DP-1710-B1202,[],"['[2018] SGPDPC 6', '[2017] SGPDPC 15']","[['financial', 54000]]"
2019-08-02,Breach of the Protection Obligation by Genki Sushi,Genki Sushi,"A financial penalty of $16,000 was imposed on Genki Sushi for failing to put in place reasonable security arrangements to protect personal data of its employees. The incident resulted in the data being subjected to a ransomware attack.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---Genki-Sushi---220719.pdf?la=en,[2019] SGPDPC 26,DP-1809-B2684,"['[2020] SGPDPC 5', '[2019] SGPDPC 47']","['[2018] SGPDPC 4', '[2018] SGPDPC 9', '[2016] SGPDPC 22']","[['financial', 16000]]"
2019-08-02,Breach of the Openness Obligation by Championtutor,Championtutor,"Directions, including a financial penalty of $5,000, were imposed on Championtutor for breaches of the PDPA. The organisation failed to appoint a data protection officer and did not have written policies and practices necessary to ensure its compliance with  the PDPA.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---Championtutor---220719.pdf?la=en,[2019] SGPDPC 25,DP-1710-B1269,[],['[2017] SGPDPC 15'],"[['financial', 5000]]"
2019-08-02,Breach of the Protection Obligation by CDP and Toppan Security Printing,CDP and Toppan Security Printing,"A financial penalty of $24,000 and $12,000 was imposed on CDP and Toppan Security Printing respectively for failing to put in place reasonable security arrangements to protect the data of CDP’s account holders from unauthorised disclosure. The incident resulted in other account holders’ data being printed on another account holder’s notification letter. ",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Updated-as-of-15-Nov-2019-Decision---CDP-and-Toppan---220719.pdf?la=en,[2019] SGPDPC 24,DP-1706-B0895,[],"['[2018] SGPDPC 19', '[2017] SGPDPC 11', '[2016] SGPDPC 22']","[['financial', 24000], ['financial', 12000]]"
2019-07-04,Breach of the Openness Obligation by AgcDesign,AgcDesign,"Directions, including a financial penalty of $5,000, were imposed on AgcDesign for breaches of the PDPA. The organisation failed to appoint a data protection officer and did not have written policies and practices necessary to ensure its compliance with the PDPA.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision--AgcDesign-Pte-Ltd--040719.pdf?la=en,[2019] SGPDPC 23,DP-1805-B2072,"['[2020] SGPDPC 6', '[2020] SGPDPC 4', '[2019] SGPDPC 30']",[],"[['financial', 5000]]"
2019-07-04,"Breach of the Protection, Openness and Transfer Limitation Obligations by Spize Concepts",Spize Concepts,"Directions, including a financial penalty of $20,000, were issued to Spize Concepts for breaches of the PDPA. Amongst the breaches, the organisation failed to appoint a data protection officer and did not make reasonable security arrangements to prevent the unauthorised disclosure of customers’ personal data.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---Spize-Concepts-Pte-Ltd---040719.pdf?la=en,[2019] SGPDPC 22,DP-1708-B1027,[],['[2017] SGPDPC 11'],"[['financial', 20000]]"
2019-07-04,Breach of the Protection Obligation by SME Motor,SME Motor,Directions were issued to SME Motor for failing to make reasonable security arrangements to prevent the unauthorised disclosure of individuals’ personal data. The lapses resulted in personal data of other customers being disclosed on the reverse side of an invoice document.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---SME-Motor-Pte-Ltd---040719.pdf?la=en,[2019] SGPDPC 21,DP-1901-B3318,"['[2020] SGPDPC 6', '[2020] SGPDPC 4']","['[2018] SGPDPC 27', '[2017] SGPDPC 7', '[2017] SGPDPC 5']",['directions']
2019-06-20,Breach of the Protection Obligation by AIA,AIA,"A financial penalty of $10,000 was imposed on AIA for failure to take reasonable security arrangements in its letter generation process.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---AIA-Singapore-Pte-Ltd---200619.pdf?la=en,[2019] SGPDPC 20,DP-1801-B1530,['[2019] SGPDPC 43'],"['[2018] SGPDPC 4', '[2018] SGPDPC 10', '[2018] SGPDPC 8', '[2017] SGPDPC 14']","[['financial', 10000]]"
2019-06-20,Breach of the Openness Obligation by Xbot,Xbot,A warning was issued to Xbot for failing to put in place data protection policies to comply with the provisions of the PDPA.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision--Xbot-Pte-Ltd---200619.pdf?la=en,[2019] SGPDPC 19,DP-1803-1781,[],[],['warning']
2019-06-20,No Breach of Protection Obligation by Cigna Europe Insurance Company S.A.-N.V.,Cigna Europe Insurance Company S.A.-N.V.,Cigna Europe Insurance Company S.A.-N.V. was found not to be in breach of the PDPA in relation to allegation that it had failed to make reasonable security arrangements to prevent the unauthorised disclosure of the personal data of its policy members.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---Cigna-Singapore---200619.pdf?la=en,[2019] SGPDPC 18,DP-1806-B2241,[],[],[]
2019-06-20,Breach of Protection Obligation by InfoCorp,InfoCorp,"A financial penalty of $6,000 was imposed on InfoCorp for failing to put in place reasonable security arrangements to protect the personal data of individuals. Personal data of some individuals participating in a registration exercise via InfoCorp’s website were disclosed to other participants in the course of the registration exercise.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---InfoCorp-Technologies-Pte-Ltd---200619.pdf?la=en,[2019] SGPDPC 17,DP-1802-B1674,['[2019] SGPDPC 43'],[],"[['financial', 6000]]"
2019-06-13,Breach of the Openness and Protection Obligations by DS Human Resource,DS Human Resource,"A financial penalty of $33,000 was imposed on DS Human Resource for breaches of the PDPA. The organisation failed to put in place data protection policies. It also did not make reasonable security arrangements to prevent the unauthorised disclosure of the personal data of job applicants.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---DS-Human-Resource---130619.pdf?la=en,[2019] SGPDPC 16,DP-1802-B1756,[],"['[2017] SGPDPC 18', '[2016] SGPDPC 10']","[['financial', 33000]]"
